acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.0015,Hard Proof,Hard Proof,0.613,286400,0.749,0.511,0,0.248,-9.047,0,Afrobeats 2011,1.0,0.03,137.98,3,1EXh6lFvkNXLRtzn3ItmvD,Stolen Goods,0.517
0.162,Remember Fela Anikulapo Kuti,Oghene Kologbo,0.823,221453,0.838,0.0128,5,0.061,-8.599,0,Afrobeats 2011,0.0,0.0655,99.909,4,2gS9CjGaa8x6lSgThNuQGw,We Dey Suffa,0.793
0.0164,The Budos Band II,The Budos Band,0.525,222667,0.85,0.943,8,0.0996,-6.372,1,Afrobeats 2011,0.0,0.0579,112.233,4,7Krd97he7ZHmEytSmpfKLl,His Girl,0.534
0.136,Like to Party,Burna Boy,0.451,246400,0.717,0.0,7,0.121,-6.972,1,Afrobeats 2012,37.0,0.338,108.955,3,4bv9fcxjNNBDP6GNAgrvbp,Like to Party,0.757
0.347,"Afrobeats the Hits, Vol. 1",Various Artists,0.556,289493,0.718,1.69e-06,1,0.259,-4.505,0,Afrobeats 2012,0.0,0.181,162.074,5,6ixbshqPYUopboiy5g3kxd,Oleku,0.811
0.208,Cupid Stories,Bracket,0.791,294960,0.872,0.0,2,0.099,-5.94,1,Afrobeats 2012,33.0,0.176,120.017,4,1a0QPUqSpP67GFJ9eAcvOE,Girl (feat. Wizkid),0.679
0.0901,The Invasion,P-Square,0.82,272093,0.846,0.0,5,0.216,-3.731,0,Afrobeats 2012,36.0,0.0871,127.022,4,7qPVJBJmsMRs6RwMffZgnr,Chop My Money (I Don't Care) [feat. Mayd],0.872
0.222,KaakitUp,Kaakie,0.859,228785,0.695,0.0,8,0.0828,-4.04,1,Afrobeats 2012,15.0,0.111,106.943,4,3l21a8oJP8aZomJIAanDgZ,Too Much,0.709
0.582,Beautiful Onyinye,P-Square,0.713,292440,0.733,0.0,6,0.207,-5.648,0,Afrobeats 2012,31.0,0.0644,99.993,4,6ominwTBoPhRGWM5djJ2yg,Beautiful Onyinye,0.844
0.406,Solar Plexus,Various Artists,0.705,211427,0.901,0.0,7,0.277,-4.356,1,Afrobeats 2012,7.0,0.0657,134.998,4,2mZH4Quau8WD5lKNywGaxy,Yolo,0.623
0.531,Best of Both Worlds,Raquel,0.807,236572,0.895,0.0,9,0.136,0.318,1,Afrobeats 2012,15.0,0.068,104.047,4,7e7IvyoTZzgTc0jUniZqGe,Sweetio - Club Mix,0.811
0.0279,Something Else,E.L,0.885,179525,0.945,0.00162,7,0.197,-3.93,1,Afrobeats 2012,0.0,0.188,128.967,4,6ueyr9EDO65eRdzUdfOvPc,Obuu Mo,0.921
0.175,Solid Ground,Asem,0.825,218070,0.916,0.0,1,0.178,-3.434,1,Afrobeats 2012,3.0,0.117,110.052,4,4FrGcNlrQiEJRgpxpExvbv,E Be Ur Own,0.964
0.236,Something Else,E.L,0.837,210462,0.893,0.0,11,0.119,-6.623,1,Afrobeats 2012,0.0,0.339,129.907,4,7djBn3NwXGGOwwJ6ohUMlX,Kaalu,0.58
0.0856,Best of El,EL,0.617,206920,0.677,0.0393,1,0.296,-6.077,1,Afrobeats 2012,15.0,0.23,122.994,4,1IbMYWkgwcCOjbd0xYV6G1,Ghe I for Your Pocket,0.3
0.322,Mass Production,Edem,0.899,229227,0.682,0.0,11,0.226,-5.009,0,Afrobeats 2012,16.0,0.36,120.067,4,5uWzVsHGXXVS9NXd526M4U,Over Again,0.687
0.329,Rapperholic,Sarkodie,0.871,274537,0.801,0.0,10,0.0559,-4.369,1,Afrobeats 2012,28.0,0.0776,115.986,4,6gWrC3vfJmWANgwuoHbYDF,Give It to Me (feat. Mugeez),0.872
0.215,My Babe,Stay Jay,0.814,374309,0.89,0.0,5,0.175,-4.62,1,Afrobeats 2012,12.0,0.0417,115.009,4,34nzIXTmdkpg0VkchKknXh,My Babe,0.9
0.0352,a.k.a Fi Mi Le,Kas,0.917,218331,0.829,2.6e-05,6,0.241,-5.129,1,Afrobeats 2012,21.0,0.195,104.946,4,2EEfDcnf7LwZ9RStGusyDn,Fi Mi Le,0.706
0.0349,"R2Bees, Vol. 2",R2Bees,0.842,220475,0.914,0.0,1,0.0825,-3.367,1,Afrobeats 2012,32.0,0.135,118.983,4,0P29bgcXgz7oG6pvzThEl7,Life (Walaahi),0.792
0.064,"Game of Hope and Inspiration, Vol. 1",Various Artists,0.759,229636,0.844,0.0,11,0.109,-2.859,1,Afrobeats 2012,0.0,0.0711,110.066,4,3nXZeSaBUYbrmhRsRMdh5z,Good Girls Gone Bad,0.964
0.0247,Repeat,Stay Jay,0.658,172800,0.832,0.0,0,0.0695,-4.316,1,Afrobeats 2012,4.0,0.221,127.304,4,51kY3wyXNtCIkzKUd3bLnm,Twaame Lala,0.923
0.294,Best Of P-Square,P-Square,0.564,281027,0.85,0.0,10,0.338,-2.129,1,Afrobeats 2012,21.0,0.157,97.743,4,3XHf7xRyHEVgJWwCzfOWe7,I Love U,0.946
